Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Juneau
Station ID: USW00025309
Downloaded: Sun Jan 01 2023 19:47:36 GMT-0900 (Alaska Standard Time)

"Date","Monthly Total Precipitation (in)","Monthly Average Mean Temperature (degF)"
"2018-10","10.42","45.47"
"2018-11","5.59","38.5"
"2018-12","5.63","33.27"
"2019-01","7.81","29.68"
"2019-02","1.89","24.14"
"2019-03","2.19","37.85"
"2019-04","3.01","42.43"
"2019-05","2.8","51.5"
"2019-06","3.54","56.97"
"2019-07","2.13","60.71"
"2019-08","4.81","58.31"
"2019-09","6.78","51.65"
"2019-10","8.05","41.44"
"2019-11","9.93","38.5"
"2019-12","7.51","36.79"
"2020-01","4.81","25.94"
"2020-02","7.78","33.88"
"2020-03","2.82","31.18"
"2020-04","5.07","39.75"
"2020-05","2.05","51.32"
"2020-06","7.3","53.38"
"2020-07","5.71","57.81"
"2020-08","10.26","55"
"2020-09","5.01","50.87"
"2020-10","7.13","41.44"
"2020-11","7.01","31.15"
"2020-12","12.74","36.48"
"2021-01","6.21","33.85"
"2021-02","5.24","25.8"
"2021-03","6.38","32.79"
"2021-04","5.15","40.02"
"2021-05","6.91","47.61"
"2021-06","6.38","56.27"
"2021-07","2.55","58.84"
"2021-08","8.62","57.02"
"2021-09","9.95","50.57"
"2021-10","9.67","41.37"
"2021-11","6.6","34.75"
"2021-12","2.87","21.29"
"2022-01","12.29","28.98"
"2022-02","10.53","34.34"
"2022-03","5.66","36.74"
"2022-04","3.44","39"
"2022-05","2.78","48.47"
"2022-06","3.1","57.27"
"2022-07","6.98","58.05"
"2022-08","9.05","58.1"
"2022-09","11.66","51.97"
"2022-10","13.11","45.92"
"2022-11","6.24","32.22"
"2022-12","3.47","25.42"
