Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Delta Junction
Station ID: USW00026415
Downloaded: Sun Jan 01 2023 19:47:49 GMT-0900 (Alaska Standard Time)

"Date","Monthly Total Precipitation (in)","Monthly Average Mean Temperature (degF)"
"2014-09","0.35","44.68"
"2014-10","0.52","21.4"
"2014-11","0.14","15.47"
"2014-12","0.07","12.76"
"2015-01","0.18","1.68"
"2015-02","0.19","7.05"
"2015-03","0.11","19.47"
"2015-04","0.22","36.28"
"2015-05","0.04","55.27"
"2015-06","1.43","58.22"
"2015-07","3.15","59.52"
"2015-08","2.68","52.31"
"2015-09","0.62","41.33"
"2015-10","0.16","31.89"
"2015-11","0.36","11.82"
"2015-12","0.05","3.45"
"2016-01","0.05","15.55"
"2016-02","0.07","18.14"
"2016-03","0.08","23.92"
"2016-04","0.13","41.73"
"2016-05","0.71","50.42"
"2016-06","2.52","58.33"
"2016-07","3.45","60.73"
"2016-08","1.07","59.02"
"2016-09","0.73","46.22"
"2016-10","0.1","26.31"
"2016-11","0.07","9.38"
"2016-12","0.27","0.11"
"2017-01","0.5","-1.66"
"2017-02","0.26","8.04"
"2017-03","0.47","0"
"2017-04","","37.15"
"2017-05","1.13","48.77"
"2017-06","2.06","59.77"
"2017-07","3.38","63.18"
"2017-08","1.98","57.24"
"2017-09","0.82","46.95"
"2017-10","0.7","31.97"
"2017-11","0.77","6.6"
"2017-12","0.41","14.97"
"2018-01","0.12","0.42"
"2018-02","0.28","7.36"
"2018-03","0.12","17.82"
"2018-04","0.16","31.68"
"2018-05","0.83","47"
"2018-06","1.19","56.97"
"2018-07","1.41","62.77"
"2018-08","1.96","56.85"
"2018-09","0.28","45.42"
"2018-10","0.29","35.08"
"2018-11","0.07","15.68"
"2018-12","0.11","8.16"
"2019-01","0.07","0.34"
"2019-02","0.12","8.12"
"2019-03","0.01","33.02"
"2019-04","0.15","36.75"
"2019-05","1.16","51.84"
"2019-06","1.3","61.17"
"2019-07","1.13","63.55"
"2019-08","4.08","53.05"
"2019-09","0.87","47.82"
"2019-10","1.65","29.65"
"2019-11","0.53","16.48"
"2019-12","0.17","2.71"
"2020-01","0.34","-15.19"
"2020-02","0.14","-0.45"
"2020-03","0.64","9.73"
"2020-04","0.51","30.9"
"2020-05","1.23","50.58"
"2020-06","5.12","56.25"
"2020-07","1.38","59.1"
"2020-08","1.96","56.16"
"2020-09","1.04","45.48"
"2020-10","0.68","26.4"
"2020-11","0.09","6.33"
"2020-12","0.13","7.76"
"2021-01","0.05","11.69"
"2021-02","0.33","-3.54"
"2021-03","0.08","7.98"
"2021-04","0.09","27.34"
"2021-05","1.83","47.1"
"2021-06","0.53","59.83"
"2021-07","1.19","61.92"
"2021-08","2.47","53.92"
"2021-09","0.68","40.23"
"2021-10","0.36","28.03"
"2021-11","0.37","-0.52"
"2021-12","1.87","3.95"
"2022-01","0.29","-0.27"
"2022-02","0.35","4.66"
"2022-03","0.39","16.32"
"2022-04","","28.22"
"2022-05","0.51","45.55"
"2022-06","0.67","60.85"
"2022-07","1.96","60.94"
"2022-08","0.92","56.6"
"2022-09","1.57","45.83"
"2022-10","0.43","29.05"
"2022-11","0.47","12.42"
"2022-12","0.47","-0.47"
