Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: King Salmon
Station ID: USW00025503
Downloaded: Sun Jan 01 2023 19:47:22 GMT-0900 (Alaska Standard Time)

"Date","Monthly Total Precipitation (in)","Monthly Average Mean Temperature (degF)"
"2019-07","1.83","61.21"
"2019-08","0.65","58.15"
"2019-09","6.05","50.68"
"2019-10","2.98","40.56"
"2019-11","2.88","35.13"
"2019-12","2.4","17.93"
"2020-01","0.36","-1.57"
"2020-02","1.92","16.83"
"2020-03","1.71","20.55"
"2020-04","2.68","40.22"
"2020-05","1.11","47.45"
"2020-06","0.82","51.68"
"2020-07","2.96","57.69"
"2020-08","3.14","55.84"
"2020-09","2.14","47.03"
"2020-10","2.03","37.84"
"2020-11","3.14","26.08"
"2020-12","0.87","22.23"
"2021-01","1.38","22.35"
"2021-02","1.56","20.8"
"2021-03","2.17","18.94"
"2021-04","1.09","33.95"
"2021-05","1.35","44.27"
"2021-06","1.51","51.35"
"2021-07","2.69","55.15"
"2021-08","1.54","52.15"
"2021-09","2.94","43.12"
"2021-10","3.03","34.66"
"2021-11","0.17","3.97"
"2021-12","3.08","17.86"
"2022-01","0.96","14.48"
"2022-02","3.18","30.32"
"2022-03","1.06","27.98"
"2022-04","0.55","35.03"
"2022-05","0.51","46.34"
"2022-06","0.64","55.42"
"2022-07","5.09","54.6"
"2022-08","3.71","54.23"
"2022-09","4.85","47.68"
"2022-10","4.32","36.82"
"2022-11","2.39","27.17"
"2022-12","3.28","20.26"
