Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Utqiaġvik
Station ID: USW00027502
Downloaded: Sun Jan 01 2023 19:46:54 GMT-0900 (Alaska Standard Time)

"Date","Monthly Total Precipitation (in)","Monthly Average Mean Temperature (degF)"
"2016-01","0.3","-0.26"
"2016-02","0.85","-4.09"
"2016-03","0.04","-7.24"
"2016-04","0.07","10.25"
"2016-05","0.07","28.73"
"2016-06","0.7","37.72"
"2016-07","0.79","43.71"
"2016-08","0.84","39.73"
"2016-09","0.77","34.52"
"2016-10","0.28","30.06"
"2016-11","0.43","13.28"
"2016-12","0.3","0.08"
"2017-01","0.47","-0.32"
"2017-02","0.4","-6.21"
"2017-03","0.23","-7.35"
"2017-04","","6.6"
"2017-05","0.94","24.58"
"2017-06","0.26","34.7"
"2017-07","1.6","45.98"
"2017-08","1.7","40.37"
"2017-09","0.71","34.97"
"2017-10","0.77","24.02"
"2017-11","0.97","17.15"
"2017-12","0.38","5.69"
"2018-01","0.07","-4.32"
"2018-02","0.33","4.02"
"2018-03","0.58","-0.73"
"2018-04","0.02","6.12"
"2018-05","0.12","21.32"
"2018-06","0.33","33.47"
"2018-07","1.82","43.23"
"2018-08","1.24","36.87"
"2018-09","0.47","35.02"
"2018-10","0.63","25.69"
"2018-11","0.69","8.3"
"2018-12","0.26","-5.92"
"2019-01","0.03","-8.79"
"2019-02","0.38","4.54"
"2019-03","0.62","5.85"
"2019-04","0.21","7.28"
"2019-05","0.41","27.68"
"2019-06","0.94","36.98"
"2019-07","2.21","48.34"
"2019-08","2.28","42.66"
"2019-09","0.92","40.82"
"2019-10","1.07","28.82"
"2019-11","0.91","16.77"
"2019-12","0.13","-0.81"
"2020-01","0.13","-12.95"
"2020-02","0.13","-26.1"
"2020-03","0.91","-5.44"
"2020-04","0.76","8.07"
"2020-05","0.05","22.47"
"2020-06","0.19","36.88"
"2020-07","0.82","38.21"
"2020-08","0.23","41.9"
"2020-09","0.65","35.45"
"2020-10","0.58","25.85"
"2020-11","1.01","15.33"
"2020-12","0.7","-4.6"
"2021-01","0.12","-6.85"
"2021-02","0.46","-19.43"
"2021-03","0.19","-9.69"
"2021-04","0.01","5.25"
"2021-05","0.07","23.02"
"2021-06","0.37","36.93"
"2021-07","1.77","41.63"
"2021-08","0.83","38.56"
"2021-09","1.72","33.47"
"2021-10","0.9","23.66"
"2021-11","0.24","6.78"
"2021-12","1.05","-6.45"
"2022-01","0.64","-10.81"
"2022-02","0.01","-16.32"
"2022-03","0.05","-6.03"
"2022-04","0.03","2"
"2022-05","0.23","23.97"
"2022-06","0.45","38.23"
"2022-07","1.64","40.5"
"2022-08","1.11","39.35"
"2022-09","0.23","35.42"
"2022-10","1.01","24.53"
"2022-11","0.72","13.88"
"2022-12","0.6","4.71"
