Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Ketchikan
Station ID: USW00025325
Downloaded: Sun Jan 01 2023 19:47:28 GMT-0900 (Alaska Standard Time)

"Date","Monthly Total Precipitation (in)","Monthly Average Mean Temperature (degF)"
"2017-10","11.21","46.1"
"2017-11","7.59","38.05"
"2017-12","13.63","36.05"
"2018-01","15.6","38.05"
"2018-02","4.83","33.81"
"2018-03","6.52","39.39"
"2018-04","13.06","44.03"
"2018-05","10.94","51.19"
"2018-06","6.9","55.47"
"2018-07","1.21","63.44"
"2018-08","4.37","60.97"
"2018-09","4.92","53.93"
"2018-10","11.58","49.19"
"2018-11","16.69","44.63"
"2018-12","9.97","37.52"
"2019-01","23.01","37.06"
"2019-02","1.83","29.57"
"2019-03","6.64","40.44"
"2019-04","13.73","44.07"
"2019-05","2.5","53.68"
"2019-06","8.46","56.07"
"2019-07","5.5","60.03"
"2019-08","11.46","59.24"
"2019-09","11.15","55.03"
"2019-10","20.78","44.95"
"2019-11","21.27","43.65"
"2019-12","20.85","38.58"
"2020-01","15.44","30.85"
"2020-02","12.34","36.88"
"2020-03","7.99","37.47"
"2020-04","9.3","42.95"
"2020-05","5.29","52"
"2020-06","13.66","54.25"
"2020-07","10.92","57.92"
"2020-08","22.85","57.31"
"2020-09","8.34","56.1"
"2020-10","8.2","44.34"
"2020-11","30.05","37.92"
"2020-12","30.72","40.27"
"2021-01","16.92","37.71"
"2021-02","8.02","32.61"
"2021-03","15.63","37.02"
"2021-04","10.05","43.3"
"2021-05","6.38","49.05"
"2021-06","6.44","57.52"
"2021-07","4.69","60.03"
"2021-08","13.76","58.56"
"2021-09","23.68","52.48"
"2021-10","19.43","44.48"
"2021-11","16.72","40.88"
"2021-12","2.01","25.92"
"2022-01","21.32","35.16"
"2022-02","16.75","38.21"
"2022-03","13.96","40.02"
"2022-04","7.74","41.75"
"2022-05","10","48.29"
"2022-06","6.34","56.77"
"2022-07","10.08","59.79"
"2022-08","7.99","61.74"
"2022-09","16.97","55.83"
"2022-10","21.59","49.58"
"2022-11","11.45","36.52"
"2022-12","10.19","30.73"
