Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Anchorage
Station ID: USW00026451
Downloaded: Sun Jan 01 2023 19:47:57 GMT-0900 (Alaska Standard Time)

"Date","Monthly Total Precipitation (in)","Monthly Average Mean Temperature (degF)"
"2021-05","1.09","47.98"
"2021-06","0.31","56.45"
"2021-07","1.23","59.08"
"2021-08","4.34","57.31"
"2021-09","1.95","47.43"
"2021-10","1.54","37.87"
"2021-11","1.18","15.75"
"2021-12","1.06","17.05"
"2022-01","1.07","20.65"
"2022-02","2.76","28.11"
"2022-03","0.89","32.34"
"2022-04","0.16","37.95"
"2022-05","0.26","50.87"
"2022-06","0.07","60.1"
"2022-07","4.26","59.44"
"2022-08","6.8","56.13"
"2022-09","5.18","50.28"
"2022-10","2.16","36.73"
"2022-11","1.17","23.72"
"2022-12","3.82","14.6"
