Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Fairbanks
Station ID: USW00026411
Downloaded: Sun Jan 01 2023 19:47:43 GMT-0900 (Alaska Standard Time)

"Date","Monthly Total Precipitation (in)","Monthly Average Mean Temperature (degF)"
"2018-08","4.15","55.48"
"2018-09","1.86","48.18"
"2018-10","0.52","34.53"
"2018-11","0.68","11.7"
"2018-12","0.42","0.08"
"2019-01","0.65","-6.87"
"2019-02","0.79","5.46"
"2019-03","0.45","27.63"
"2019-04","0.59","36.97"
"2019-05","1.01","53.84"
"2019-06","1.51","63.52"
"2019-07","0.89","65.98"
"2019-08","5.58","55.61"
"2019-09","1.04","48.43"
"2019-10","1.68","31.69"
"2019-11","1.83","13.2"
"2019-12","0.38","-5.35"
"2020-01","0.42","-21.4"
"2020-02","0.5","-6.02"
"2020-03","1.59","8.82"
"2020-04","1.27","30.53"
"2020-05","0.49","53.29"
"2020-06","3.09","59.8"
"2020-07","2.31","60.97"
"2020-08","2.12","59.73"
"2020-09","1.21","47.6"
"2020-10","0.7","27.39"
"2020-11","1.38","2.03"
"2020-12","0.22","0.21"
"2021-01","0.04","-1.45"
"2021-02","1.37","-9.23"
"2021-03","0.89","5.87"
"2021-04","1.35","26.58"
"2021-05","0.36","51.87"
"2021-06","1.06","63.12"
"2021-07","2.18","64.76"
"2021-08","3.67","56.79"
"2021-09","0.37","44.08"
"2021-10","1.31","30.79"
"2021-11","0.41","0.62"
"2021-12","5.73","1.47"
"2022-01","0.2","-7.63"
"2022-02","1.44","-0.12"
"2022-03","0.13","13.37"
"2022-04","0.02","28.28"
"2022-05","1.09","48.71"
"2022-06","0.53","62.62"
"2022-07","0.51","63.37"
"2022-08","1.39","58.98"
"2022-09","1.45","47.8"
"2022-10","0.77","28.34"
"2022-11","0.64","9.12"
"2022-12","1.13","-4.45"
